"metric","adm_0_name","ISO_A0","od_region","m","point","lwr","upr","within_sd_log","between_sd_log"
"country_growth_since_emergence_min3_pct","MICRONESIA (FEDERATED STATES OF)","FSM","Pacific Islands",50,15.5113477446291,1.99637249994453,30.8171176164905,0.0628401278057836,0.00894372472190834
"country_growth_since_emergence_min3_pct","MONTSERRAT","MSR","Caribbean",50,-4.10678330965002,-11.7598153783357,4.20999283544987,0.0420787697257356,0.00543728483178632
"country_growth_since_emergence_min3_pct","MYANMAR","MMR","East & Southeast Asia",50,2.85774448494185,0.786637536785939,4.97141147970248,0.0103783179316583,0
"country_growth_since_emergence_min3_pct","NAURU","NRU","Pacific Islands",50,3.15980976926407,-14.4311339357214,24.3670372310018,0.0920077269813015,0.0248793244658294
"country_growth_since_emergence_min3_pct","NEPAL","NPL","South Asia",50,55.2079469820848,31.8993514122201,82.6355213158526,0.0830253362107935,0
"country_growth_since_emergence_min3_pct","NEW CALEDONIA","NCL","Pacific Islands",50,0.769167245237434,-5.16460024116316,7.07420534021039,0.0309644287877881,0.00012549241661831
"country_growth_since_emergence_min3_pct","NICARAGUA","NIC","North & Central America",50,10.3019981517865,7.27838083884293,13.4108354464603,0.0141813288969853,5.06298469472114e-06
"country_growth_since_emergence_min3_pct","NIGER","NER","Sub-Saharan Africa",50,50.8729696424767,-83.5179788560185,1281.05956605035,1.12969834159329,0
"country_growth_since_emergence_min3_pct","NIGERIA","NGA","Sub-Saharan Africa",50,-31.0779766387698,-52.628269561453,0.275950661507429,0.191304598334119,0
"country_growth_since_emergence_min3_pct","NIUE","NIU","Pacific Islands",50,7.19450503663086,-7.79028584584754,24.6144401970345,0.0765553699937617,0.00639811183349451
"country_growth_since_emergence_min3_pct","NORTHERN MARIANA ISLANDS","MNP","Pacific Islands",50,1.63345676173134,-13.528630100745,19.4540984533161,0.0823182716335078,0.00424364604419374
"country_growth_since_emergence_min3_pct","OMAN","OMN","Europe, Middle East & North Africa",50,39.0023580829379,-18.7813376110947,137.896746687331,0.274161080874375,0
"country_growth_since_emergence_min3_pct","PAKISTAN","PAK","South Asia",50,20.9225108546778,10.9080457162888,31.8412342131111,0.0441071845994794,0
"country_growth_since_emergence_min3_pct","PALAU","PLW","Pacific Islands",50,1.07778638319374,-6.49935269536083,9.26896438309073,0.0392941446021028,0.00598501228815932
"country_growth_since_emergence_min3_pct","PANAMA","PAN","North & Central America",50,5.57055277559535,0.129398762419486,11.3073857538007,0.0269985251211695,7.5093900871531e-06
"country_growth_since_emergence_min3_pct","PAPUA NEW GUINEA","PNG","Pacific Islands",50,-14.3089723420372,-28.3381553644373,2.46669281847864,0.0911998297012202,0.00194103836502776
"country_growth_since_emergence_min3_pct","PARAGUAY","PRY","South America",50,13.2291291822177,4.98610562831527,22.1193568294957,0.0385647104447086,0
"country_growth_since_emergence_min3_pct","PERU","PER","South America",50,17.1029497468759,12.0471599213918,22.3868668250042,0.0225175601286472,0
"country_growth_since_emergence_min3_pct","PHILIPPINES","PHL","East & Southeast Asia",50,8.2971332324983,5.44504037989075,11.2263699091358,0.0126486279974141,0.00497683812921353
"country_growth_since_emergence_min3_pct","PUERTO RICO","PRI","Caribbean",50,-3.62361256194874,-6.59382403818284,-0.558951697087939,0.0159716002101323,0
"country_growth_since_emergence_min3_pct","REUNION","REU","Sub-Saharan Africa",50,22.7192793641138,4.48658453301349,44.1335420710307,0.081902825345395,0.00507584578652119
"country_growth_since_emergence_min3_pct","SAINT BARTHELEMY","BLM","Caribbean",50,0.205883525437733,-14.3878421605617,17.2873029546276,0.0803073944676521,0
"country_growth_since_emergence_min3_pct","SAINT KITTS AND NEVIS","KNA","Caribbean",50,11.6954710667059,5.22119453124525,18.5681108487001,0.0304655653246947,0
"country_growth_since_emergence_min3_pct","SAINT LUCIA","LCA","Caribbean",50,8.4433563911481,1.37574963499065,16.0036950426507,0.034385360750708,0
"country_growth_since_emergence_min3_pct","SAINT MARTIN","MAF","Caribbean",50,-0.692929995585512,-13.4618604491713,13.9600897829475,0.0702214589713656,0
"country_growth_since_emergence_min3_pct","SAINT VINCENT AND THE GRENADINES","VCT","Caribbean",50,11.6763060043921,3.16681877070462,20.8876795019299,0.0404381328820074,0
"country_growth_since_emergence_min3_pct","SAMOA","WSM","Pacific Islands",50,21.9072538835516,0.928787246277851,47.2461817376765,0.0922911679886266,0.0273474659395298
"country_growth_since_emergence_min3_pct","SAO TOME AND PRINCIPE","STP","Sub-Saharan Africa",50,-29.3761304976654,-93.6269485583764,682.628382835095,1.22575763509659,0.0591208757694496
"country_growth_since_emergence_min3_pct","SAUDI ARABIA","SAU","Europe, Middle East & North Africa",50,11.0280554050058,7.16294385141445,15.0325723051172,0.0177080840725467,0.00359938562442029
"country_growth_since_emergence_min3_pct","SENEGAL","SEN","Sub-Saharan Africa",50,14.9241523255315,0.255286257223042,31.7392955604914,0.0696709589092814,0
"country_growth_since_emergence_min3_pct","SEYCHELLES","SYC","Sub-Saharan Africa",50,2.4487902164128,-27.0344211485766,43.845286805421,0.155761429553755,0.074541300458155
"country_growth_since_emergence_min3_pct","SINGAPORE","SGP","East & Southeast Asia",50,5.19806530425937,2.52038243300896,7.94568534691735,0.0131549752338115,0
"country_growth_since_emergence_min3_pct","SINT MAARTEN","SXM","Caribbean",50,-13.9520846467913,-30.8755536135438,7.11469130961027,0.111734627351752,0
"country_growth_since_emergence_min3_pct","SOLOMON ISLANDS","SLB","Pacific Islands",50,10.4748843006403,-0.518113573339796,22.6826360016542,0.0532898508776121,0.00442299578129567
"country_growth_since_emergence_min3_pct","SPAIN","ESP","Europe, Middle East & North Africa",50,20.7312840615794,-17.1626345768327,75.9597601480608,0.192191312313003,0
"country_growth_since_emergence_min3_pct","SRI LANKA","LKA","South Asia",50,10.9243198245552,7.20523362268501,14.7724258672441,0.017399858932713,0
"country_growth_since_emergence_min3_pct","SUDAN","SDN","Europe, Middle East & North Africa",50,19.3458970421659,2.39435855615184,39.1037879590635,0.0781393457900618,0.00185581639980438
"country_growth_since_emergence_min3_pct","SURINAME","SUR","South America",50,-8.28413528825692,-13.4081247919102,-2.85693871846197,0.0293318550871707,0
"country_growth_since_emergence_min3_pct","TAIWAN","TWN","East & Southeast Asia",50,9.9311675271019,-0.678270005356452,21.6738934624224,0.0517815848130291,0
"country_growth_since_emergence_min3_pct","THAILAND","THA","East & Southeast Asia",50,0.298151278474368,-1.54982307157259,2.18081331832523,0.00948826652007246,0
"country_growth_since_emergence_min3_pct","TIMOR-LESTE","TLS","East & Southeast Asia",50,9.9881616582784,2.38432461365177,18.1567173550954,0.0364953839809151,0.00199990665244879
"country_growth_since_emergence_min3_pct","TOKELAU","TKL","Pacific Islands",50,-1.02128515037546,-11.2366085710053,10.3696674447158,0.0437793120543777,0.0335895806346532
"country_growth_since_emergence_min3_pct","TONGA","TON","Pacific Islands",50,4.40205992952152,-3.69218977757254,13.1765958789201,0.0400377249389555,0.00949974084074718
"country_growth_since_emergence_min3_pct","TRINIDAD AND TOBAGO","TTO","Caribbean",50,-3.28682781747544,-7.29517914720025,0.894835754640932,0.0215968938195023,0
"country_growth_since_emergence_min3_pct","TURKS AND CAICOS ISLANDS","TCA","Caribbean",50,6.30619749466184,-5.35789749421732,19.4078251281828,0.0592975948747029,0
"country_growth_since_emergence_min3_pct","TUVALU","TUV","Pacific Islands",50,1.81487689198969,-8.11672536384394,12.8199794530602,0.0509694386636573,0.0118831504649539
"country_growth_since_emergence_min3_pct","UNITED REPUBLIC OF TANZANIA","TZA","Sub-Saharan Africa",50,-9.83587039015434,-42.2800261567431,40.8450095694348,0.227569687293912,0
"country_growth_since_emergence_min3_pct","UNITED STATES OF AMERICA","USA","North & Central America",50,15.8665128159379,9.54236064662013,22.5557739752811,0.0286369788790543,0
"country_growth_since_emergence_min3_pct","URUGUAY","URY","South America",50,-11.4099826289342,-43.9945480241422,40.1326281803573,0.233968655249203,0
"country_growth_since_emergence_min3_pct","VANUATU","VUT","Pacific Islands",50,3.17310409666607,-4.17965777797403,11.0900792263568,0.0374265870261318,0.00466117532069304
"country_growth_since_emergence_min3_pct","VENEZUELA","VEN","South America",50,-0.327390334956346,-3.05549714722873,2.47748789354032,0.0136315030851036,0.003786278355886
"country_growth_since_emergence_min3_pct","VIET NAM","VNM","East & Southeast Asia",50,2.36544883092733,0.247773194211476,4.52785912816929,0.0106640363924943,0.00018653329206312
"country_growth_since_emergence_min3_pct","VIRGIN ISLANDS (UK)","VGB","Caribbean",50,1.63452846688037,-9.74616221415291,14.4502841108539,0.0605915237266398,0
"country_growth_since_emergence_min3_pct","VIRGIN ISLANDS (US)","VIR","Caribbean",50,-5.17628861861548,-16.1463667717454,7.22894040458111,0.0627290509365366,0
"country_growth_since_emergence_min3_pct","WALLIS AND FUTUNA","WLF","Pacific Islands",50,4.67125128221466,-5.62620932649477,16.09230451374,0.0527396950531248,0.00319395208292966
"country_growth_since_emergence_min3_pct","YEMEN","YEM","Europe, Middle East & North Africa",50,-2.00863957675864,-20.3984097877966,20.6295840572981,0.106045436617924,3.11578377747072e-05
