"metric","scope","m","method","point","lwr","upr","between_lwr","between_upr","within_sd_log","between_sd_log","within_sd","between_sd"
"global_growth_excl_assumed_zero_pct","global",50,"rubin",7.9067623564878,5.69583905935789,10.1639332814269,7.71959332721117,8.03267666276288,0.0105471647474981,0.000562349541005317,NA,NA
"global_growth_pct","global",50,"rubin",9.02048792287429,6.75304364441476,11.3360929223812,8.82710662923008,9.15056085196381,0.0107077533924804,0.000575060796787265,NA,NA
"global_growth_since_emergence_pct","global",50,"rubin",7.7049168903387,5.45998520077149,9.9976365468891,7.51493196032611,7.83271208115748,0.0107314211232794,0.000571869072564169,NA,NA
"period_growth_excl_assumed_zero_pct","1990-2024",50,"rubin",7.9067623564878,5.69583905935789,10.1639332814269,7.71959332721117,8.03267666276288,0.0105471647474981,0.000562349541005317,NA,NA
"period_growth_excl_assumed_zero_pct","2000-2024",50,"rubin",8.89991120650129,5.52955602609499,12.3779072646848,8.86059825614078,9.02841671309831,0.016036801814827,0.000325293531276437,NA,NA
"period_growth_excl_assumed_zero_pct","2010-2024",50,"rubin",10.8313612779573,3.65578071530333,18.5036720379608,10.7517012251738,11.0843393524079,0.0341448942693068,0.000624228728706975,NA,NA
"period_growth_pct","1990-2024",50,"rubin",9.02048792287429,6.75304364441476,11.3360929223812,8.82710662923008,9.15056085196381,0.0107077533924804,0.000575060796787265,NA,NA
"period_growth_pct","2000-2024",50,"rubin",10.2704988431945,6.88997026954583,13.757940847621,10.230629806559,10.4008117403517,0.0158828218355933,0.000325775684634135,NA,NA
"period_growth_pct","2010-2024",50,"rubin",12.2835448072479,5.19126598184876,19.8540041970476,12.2043251295993,12.535121396578,0.0332841693322202,0.000612752757034771,NA,NA
"period_growth_since_emergence_pct","1990-2024",50,"rubin",7.7049168903387,5.45998520077149,9.9976365468891,7.51493196032611,7.83271208115748,0.0107314211232794,0.000571869072564169,NA,NA
"period_growth_since_emergence_pct","2000-2024",50,"rubin",8.86234559663168,5.48735694112856,12.3453144760694,8.82298481851772,8.99100279154248,0.0160648307879559,0.000325790073037256,NA,NA
"period_growth_since_emergence_pct","2010-2024",50,"rubin",10.8201299930097,3.64152862068903,18.4959482469078,10.7404487713893,11.0731752199922,0.0341633435180388,0.000624457578324147,NA,NA
"region_total_growth_excl_assumed_zero_pct","Caribbean",50,"rubin",2.528370327074,-0.246982773477344,5.38093998755405,2.52826637869497,2.52858251439361,0.0140014005026981,7.83584388817104e-07,NA,NA
"region_total_growth_excl_assumed_zero_pct","East & Southeast Asia",50,"rubin",4.10523484110485,2.82461721923841,5.40180177100458,3.98771260628405,4.47435198250207,0.00623397154972826,0.000998751707942606,NA,NA
"region_total_growth_excl_assumed_zero_pct","Europe, Middle East & North Africa",50,"rubin",7.57931152978126,1.84599621016481,13.6353779223639,7.48825000852643,7.99733916412441,0.0279235296633946,0.00102246809939746,NA,NA
"region_total_growth_excl_assumed_zero_pct","North & Central America",50,"rubin",8.07485225597175,5.67425152725956,10.5299874031956,8.07461614415118,8.07497711404808,0.0114608227463692,6.57002410521145e-07,NA,NA
"region_total_growth_excl_assumed_zero_pct","Pacific Islands",50,"rubin",3.84500307473752,-0.400289399353038,8.27124495201292,3.07061517973615,6.43327759914707,0.0199949130127524,0.00723747799379388,NA,NA
"region_total_growth_excl_assumed_zero_pct","South America",50,"rubin",11.6544295943248,8.17759996001519,15.2430045835921,11.6474816992222,11.6945921307103,0.0161399972232512,9.14182766765045e-05,NA,NA
"region_total_growth_excl_assumed_zero_pct","South Asia",50,"rubin",15.0343151663647,9.75644023870588,20.5659880824734,10.1410654425372,16.266232274065,0.0194812545934949,0.0137028237110661,NA,NA
"region_total_growth_excl_assumed_zero_pct","Sub-Saharan Africa",50,"rubin",13.5747940841679,-1.16771422181081,30.5163970426739,11.5554045160376,14.9926845643247,0.0706915353284919,0.00585711150166991,NA,NA
"region_total_growth_pct","Caribbean",50,"rubin",2.53185066155579,-0.243950845775898,5.38489133456646,2.53174671464887,2.53206284587034,0.0140032120805156,7.83546694271192e-07,NA,NA
"region_total_growth_pct","East & Southeast Asia",50,"rubin",4.43598235230929,3.1474429209325,5.74061848777483,4.31733164758487,4.80861401770921,0.006252241603668,0.00100508305893214,NA,NA
"region_total_growth_pct","Europe, Middle East & North Africa",50,"rubin",19.0491166242078,12.5052474787008,25.9736100015012,18.9703308897895,19.4102772112822,0.0288342887061825,0.000798871764104254,NA,NA
"region_total_growth_pct","North & Central America",50,"rubin",8.0748522559718,5.67425152725956,10.5299874031957,8.07461614415119,8.07497711404831,0.0114608227463695,6.57002410457417e-07,NA,NA
"region_total_growth_pct","Pacific Islands",50,"rubin",3.9146161907726,-0.321448877064501,8.33070240715972,3.14321489880169,6.49450818121059,0.0199399116630987,0.00720837473817824,NA,NA
"region_total_growth_pct","South America",50,"rubin",11.6544295943247,8.17759996001521,15.243004583592,11.6474816992222,11.6945921307103,0.0161399972232509,9.14182766764551e-05,NA,NA
"region_total_growth_pct","South Asia",50,"rubin",15.3142141992935,10.0883548724471,20.7881434126925,10.3684780850429,16.5623156401266,0.0190124588715185,0.0138281755086229,NA,NA
"region_total_growth_pct","Sub-Saharan Africa",50,"rubin",24.3899859806767,15.421635422768,34.0551843300324,22.9242491844034,25.4318103839828,0.0379754009823977,0.00389974817532142,NA,NA
"region_total_growth_since_emergence_pct","Caribbean",50,"rubin",0.380345775316404,-2.58094427839349,3.43165147039384,0.380237737119815,0.380566311068544,0.0152781344981438,8.31841756942942e-07,NA,NA
"region_total_growth_since_emergence_pct","East & Southeast Asia",50,"rubin",4.09996590018165,2.81914269030834,5.39674438892643,3.98239332108391,4.46923917559694,0.00623525320979507,0.000999225685417446,NA,NA
"region_total_growth_since_emergence_pct","Europe, Middle East & North Africa",50,"rubin",7.43678855888439,1.37225958481135,13.8641240031693,7.34340064303322,7.86519792097708,0.0296260693147313,0.0010494917985371,NA,NA
"region_total_growth_since_emergence_pct","North & Central America",50,"rubin",7.31745991121415,4.67819089434367,10.0232732663456,7.31720425673997,7.31759510348713,0.0127046016174254,7.164019103836e-07,NA,NA
"region_total_growth_since_emergence_pct","Pacific Islands",50,"rubin",3.81998411883935,-0.426224614080195,8.24726752261114,3.04394152617556,6.4135160319141,0.0199997698270455,0.00725281482073992,NA,NA
"region_total_growth_since_emergence_pct","South America",50,"rubin",11.3383311020392,7.79481845176115,14.9983287752806,11.3312360864884,11.3793435568534,0.0165020744288403,9.3617989635387e-05,NA,NA
"region_total_growth_since_emergence_pct","South Asia",50,"rubin",14.8867719477593,9.43083521341703,20.614727492806,9.92353214301144,16.1347641882446,0.0203860211817777,0.0139147003560974,NA,NA
"region_total_growth_since_emergence_pct","Sub-Saharan Africa",50,"rubin",13.5747940841679,-1.16771422181081,30.5163970426739,11.5554045160376,14.9926845643247,0.0706915353284919,0.00585711150166991,NA,NA
"region_growth_pct","Caribbean",50,"percentile",7.56070595393998,7.56070595393998,7.56070595393998,7.56070595393998,7.56070595393998,NA,NA,NA,0
"region_growth_pct","East & Southeast Asia",50,"percentile",5.19806530425937,5.19806530425937,5.19806530425937,5.19806530425937,5.19806530425937,NA,NA,NA,0
"region_growth_pct","Europe, Middle East & North Africa",50,"percentile",21.1453787932279,20.8460157437624,21.7575676942173,20.8460157437624,21.7575676942173,NA,NA,NA,0.187733718008225
"region_growth_pct","North & Central America",50,"percentile",8.99566964597507,8.99566964597507,8.99566964597507,8.99566964597507,8.99566964597507,NA,NA,NA,0
"region_growth_pct","Pacific Islands",50,"percentile",4.00366984769135,3.65981629533425,4.5072799461206,3.65981629533425,4.5072799461206,NA,NA,NA,0.201239622451239
"region_growth_pct","South America",50,"percentile",4.82468032404932,4.82468032404932,4.82468032404932,4.82468032404932,4.82468032404932,NA,NA,NA,0
"region_growth_pct","South Asia",50,"percentile",13.8832524460088,10.9243198245552,15.2527527145888,10.9243198245552,15.2527527145888,NA,NA,NA,1.4343278103082
"region_growth_pct","Sub-Saharan Africa",50,"percentile",24.169533443064,21.7946328162386,26.2062562013166,21.7946328162386,26.2062562013166,NA,NA,NA,0.94408006108518
"region_growth_since_emergence_pct","Caribbean",50,"percentile",3.04798636391983,3.04798636391983,3.04798636391983,3.04798636391983,3.04798636391983,NA,NA,NA,0
"region_growth_since_emergence_pct","East & Southeast Asia",50,"percentile",4.89729584317262,4.68720576651308,4.93917992858794,4.68720576651308,4.93917992858794,NA,NA,NA,0.0716187453164254
"region_growth_since_emergence_pct","Europe, Middle East & North Africa",50,"percentile",19.325727599608,18.9707369345526,20.0465852109505,18.9707369345526,20.0465852109505,NA,NA,NA,0.22170048422026
"region_growth_since_emergence_pct","North & Central America",50,"percentile",8.99566964597507,8.99566964597507,8.99566964597507,8.99566964597507,8.99566964597507,NA,NA,NA,0
"region_growth_since_emergence_pct","Pacific Islands",50,"percentile",3.80723218839867,3.11968182649236,4.46446692017526,3.11968182649236,4.46446692017526,NA,NA,NA,0.335349897850224
"region_growth_since_emergence_pct","South America",50,"percentile",4.49919464250392,4.49919464250392,4.49919464250392,4.49919464250392,4.49919464250392,NA,NA,NA,0
"region_growth_since_emergence_pct","South Asia",50,"percentile",13.8832524460088,10.9243198245552,15.2527527145888,10.9243198245552,15.2527527145888,NA,NA,NA,1.4343278103082
"region_growth_since_emergence_pct","Sub-Saharan Africa",50,"percentile",15.4350744934209,14.9241523255315,19.712291576652,14.9241523255315,19.712291576652,NA,NA,NA,1.76965554489342
"fold_increase","1990-2024",5000,"percentile",33.8741632117894,17.7089982932694,43.0128457220026,NA,NA,NA,NA,NA,NA
"fold_increase","2000-2024",5000,"percentile",28.6229117131316,28.325708465238,29.2172834732189,NA,NA,NA,NA,NA,NA
"fold_increase","2010-2024",5000,"percentile",6.06810647371466,6.00510582400916,6.19404366753525,NA,NA,NA,NA,NA,NA
