date,date_lab,who_region,who_region_long,country,iso3,cases,confirmed_cases,severe_cases,deaths,cfr,prop_sev,cfr_ci_lower,cfr_ci_upper,prop_sev_ci_lower,prop_sev_ci_upper
2010-01-01,Jan-10,SEAR,South-East Asia Region,Thailand,THA,1496,,,,,,,,,
2010-02-01,Feb-10,SEAR,South-East Asia Region,Thailand,THA,1528,,,,,,,,,
2010-03-01,Mar-10,SEAR,South-East Asia Region,Thailand,THA,2020,,,,,,,,,
2010-04-01,Apr-10,SEAR,South-East Asia Region,Thailand,THA,1868,,,,,,,,,
2010-05-01,May-10,SEAR,South-East Asia Region,Thailand,THA,3666,,,,,,,,,
2010-06-01,Jun-10,SEAR,South-East Asia Region,Thailand,THA,6631,,,,,,,,,
2010-07-01,Jul-10,SEAR,South-East Asia Region,Thailand,THA,10037,,,,,,,,,
2010-08-01,Aug-10,SEAR,South-East Asia Region,Thailand,THA,11299,,,,,,,,,
2010-09-01,Sep-10,SEAR,South-East Asia Region,Thailand,THA,7463,,,,,,,,,
2010-10-01,Oct-10,SEAR,South-East Asia Region,Thailand,THA,3630,,,,,,,,,
2010-11-01,Nov-10,SEAR,South-East Asia Region,Thailand,THA,2229,,,,,,,,,
2010-12-01,Dec-10,SEAR,South-East Asia Region,Thailand,THA,1282,,,,,,,,,
2011-01-01,Jan-11,SEAR,South-East Asia Region,Thailand,THA,1125,,,,,,,,,
2011-02-01,Feb-11,SEAR,South-East Asia Region,Thailand,THA,956,,,,,,,,,
2011-03-01,Mar-11,SEAR,South-East Asia Region,Thailand,THA,973,,,,,,,,,
2011-04-01,Apr-11,SEAR,South-East Asia Region,Thailand,THA,1315,,,,,,,,,
2011-05-01,May-11,SEAR,South-East Asia Region,Thailand,THA,3501,,,,,,,,,
2011-06-01,Jun-11,SEAR,South-East Asia Region,Thailand,THA,5337,,,,,,,,,
2011-07-01,Jul-11,SEAR,South-East Asia Region,Thailand,THA,5203,,,,,,,,,
2011-08-01,Aug-11,SEAR,South-East Asia Region,Thailand,THA,4352,,,,,,,,,
2011-09-01,Sep-11,SEAR,South-East Asia Region,Thailand,THA,2741,,,,,,,,,
2011-10-01,Oct-11,SEAR,South-East Asia Region,Thailand,THA,1696,,,,,,,,,
2011-11-01,Nov-11,SEAR,South-East Asia Region,Thailand,THA,1615,,,,,,,,,
2011-12-01,Dec-11,SEAR,South-East Asia Region,Thailand,THA,945,,,,,,,,,
2012-01-01,Jan-12,SEAR,South-East Asia Region,Thailand,THA,857,,,,,,,,,
2012-02-01,Feb-12,SEAR,South-East Asia Region,Thailand,THA,938,,,,,,,,,
2012-03-01,Mar-12,SEAR,South-East Asia Region,Thailand,THA,1106,,,,,,,,,
2012-04-01,Apr-12,SEAR,South-East Asia Region,Thailand,THA,1338,,,,,,,,,
2012-05-01,May-12,SEAR,South-East Asia Region,Thailand,THA,2412,,,,,,,,,
2012-06-01,Jun-12,SEAR,South-East Asia Region,Thailand,THA,4372,,,,,,,,,
2012-07-01,Jul-12,SEAR,South-East Asia Region,Thailand,THA,5377,,,,,,,,,
2012-08-01,Aug-12,SEAR,South-East Asia Region,Thailand,THA,5080,,,,,,,,,
2012-09-01,Sep-12,SEAR,South-East Asia Region,Thailand,THA,4645,,,,,,,,,
2012-10-01,Oct-12,SEAR,South-East Asia Region,Thailand,THA,4683,,,,,,,,,
2012-11-01,Nov-12,SEAR,South-East Asia Region,Thailand,THA,4938,,,,,,,,,
2012-12-01,Dec-12,SEAR,South-East Asia Region,Thailand,THA,3575,,,,,,,,,
2013-01-01,Jan-13,SEAR,South-East Asia Region,Thailand,THA,3781,,,,,,,,,
2013-02-01,Feb-13,SEAR,South-East Asia Region,Thailand,THA,2918,,,,,,,,,
2013-03-01,Mar-13,SEAR,South-East Asia Region,Thailand,THA,3783,,,,,,,,,
2013-04-01,Apr-13,SEAR,South-East Asia Region,Thailand,THA,4723,,,,,,,,,
2013-05-01,May-13,SEAR,South-East Asia Region,Thailand,THA,8784,,,,,,,,,
2013-06-01,Jun-13,SEAR,South-East Asia Region,Thailand,THA,16663,,,,,,,,,
2013-07-01,Jul-13,SEAR,South-East Asia Region,Thailand,THA,18947,,,,,,,,,
2013-08-01,Aug-13,SEAR,South-East Asia Region,Thailand,THA,13555,,,,,,,,,
2013-09-01,Sep-13,SEAR,South-East Asia Region,Thailand,THA,6972,,,,,,,,,
2013-10-01,Oct-13,SEAR,South-East Asia Region,Thailand,THA,3653,,,,,,,,,
2013-11-01,Nov-13,SEAR,South-East Asia Region,Thailand,THA,2574,,,,,,,,,
2013-12-01,Dec-13,SEAR,South-East Asia Region,Thailand,THA,1149,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Anguilla,AIA,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Antigua and Barbuda,ATG,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Argentina,ARG,317,5,0,0,0,0,0,0.011569398,0,0.011569398
2014-01-01,Jan-14,AMR,Region of the Americas,Aruba,ABW,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Bahamas,BHS,4,0,0,0,0,0,0,0.602364636,0,0.602364636
2014-01-01,Jan-14,AMR,Region of the Americas,Barbados,BRB,116,35,,0,0,,0,0.031300361,,
2014-01-01,Jan-14,AMR,Region of the Americas,Belize,BLZ,253,9,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Bermuda,BMU,0,0,0,0,,,0,1,0,1
2014-01-01,Jan-14,AMR,Region of the Americas,Bolivia (Plurinational State of),BOL,2232,408,51,0,0,0.022849462,0,0.001651359,0.01705912,0.029934432
2014-01-01,Jan-14,AMR,Region of the Americas,"Bonaire, Saint Eustatius and Saba",BES,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Brazil,BRA,35582,13160,49,37,0.001039852,0.001377101,0.000732254,0.001433016,0.001018955,0.001820196
2014-01-01,Jan-14,AMR,Region of the Americas,British Virgin Islands,VGB,13,0,0,0,0,0,0,0.247052638,0,0.247052638
2014-01-01,Jan-14,AMR,Region of the Americas,Canada,CAN,0,0,0,0,,,0,1,0,1
2014-01-01,Jan-14,AMR,Region of the Americas,Cayman Islands,CYM,0,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Chile,CHL,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Colombia,COL,11804,3556,294,0,0,0.024906811,0,0.000312462,0.022170747,0.027880448
2014-01-01,Jan-14,AMR,Region of the Americas,Costa Rica,CRI,1025,,,0,0,,0,0.003592438,,
2014-01-01,Jan-14,AMR,Region of the Americas,Cuba,CUB,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Curaçao,CUW,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Dominica,DMA,0,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Dominican Republic,DOM,942,,35,5,0.005307856,0.037154989,0.001725625,0.012342973,0.026013734,0.051296945
2014-01-01,Jan-14,AMR,Region of the Americas,Ecuador,ECU,836,836,2,0,0,0.002392344,0,0.004402814,0.000289855,0.008615008
2014-01-01,Jan-14,AMR,Region of the Americas,El Salvador,SLV,1785,536,7,0,0,0.003921569,0,0.002064465,0.001578083,0.008063139
2014-01-01,Jan-14,AMR,Region of the Americas,French Guiana,GUF,69,69,0,0,0,0,0,0.052058058,0,0.052058058
2014-01-01,Jan-14,AMR,Region of the Americas,Grenada,GRD,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Guadeloupe,GLP,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Guatemala,GTM,227,0,0,0,0,0,0,0.016119242,0,0.016119242
2014-01-01,Jan-14,AMR,Region of the Americas,Guyana,GUY,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Haiti,HTI,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Honduras,HND,732,0,112,0,0,0.153005464,0,0.005026776,0.127684201,0.181159023
2014-01-01,Jan-14,AMR,Region of the Americas,Jamaica,JAM,32,4,0,0,0,0,0,0.108881161,0,0.108881161
2014-01-01,Jan-14,AMR,Region of the Americas,Martinique,MTQ,175,175,0,0,0,0,0,0.020858695,0,0.020858695
2014-01-01,Jan-14,AMR,Region of the Americas,Mexico,MEX,5190,783,262,0,0,0.050481696,0,0.000710514,0.044683215,0.056792061
2014-01-01,Jan-14,AMR,Region of the Americas,Montserrat,MSR,0,0,0,0,,,0,1,0,1
2014-01-01,Jan-14,AMR,Region of the Americas,Nicaragua,NIC,2074,242,0,0,0,0,0,0.00177705,0,0.00177705
2014-01-01,Jan-14,AMR,Region of the Americas,Panama,PAN,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Paraguay,PRY,3153,59,2,1,0.000317158,0.000634317,8.03E-06,0.001765812,7.68E-05,0.002289472
2014-01-01,Jan-14,AMR,Region of the Americas,Peru,PER,2670,892,8,2,0.000749064,0.002996255,9.07E-05,0.002703229,0.00129443,0.005895236
2014-01-01,Jan-14,AMR,Region of the Americas,Puerto Rico,PRI,551,88,1,0,0,0.001814882,0,0.00667252,4.59E-05,0.010070026
2014-01-01,Jan-14,AMR,Region of the Americas,Saint Barthélemy,BLM,35,14,0,0,0,0,0,0.100032436,0,0.100032436
2014-01-01,Jan-14,AMR,Region of the Americas,Saint Kitts and Nevis,KNA,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Saint Lucia,LCA,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Saint Martin (French part),MAF,142,142,1,0,0,0.007042254,0,0.025643498,0.000178279,0.038611105
2014-01-01,Jan-14,AMR,Region of the Americas,Saint Vincent and the Grenadines,VCT,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Sint Maarten (Dutch part),SXM,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Suriname,SUR,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Trinidad and Tobago,TTO,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,Turks and Caicos Islands,TCA,,,,,,,,,,
2014-01-01,Jan-14,AMR,Region of the Americas,United States Virgin Islands,VIR,1,1,0,0,0,0,0,0.975,0,0.975
2014-01-01,Jan-14,AMR,Region of the Americas,United States of America,USA,54,54,0,0,0,0,0,0.066031514,0,0.066031514
2014-01-01,Jan-14,AMR,Region of the Americas,Uruguay,URY,0,0,0,0,,,0,1,0,1
2014-01-01,Jan-14,AMR,Region of the Americas,Venezuela (Bolivarian Republic of),VEN,9122,0,31,0,0,0.003398378,0,0.000404312,0.002310165,0.004820287
2014-01-01,Jan-14,SEAR,South-East Asia Region,Thailand,THA,887,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Anguilla,AIA,7,2,0,0,0,0,0,0.409616397,0,0.409616397
2014-02-01,Feb-14,AMR,Region of the Americas,Antigua and Barbuda,ATG,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Argentina,ARG,408,9,0,0,0,0,0,0.009000621,0,0.009000621
2014-02-01,Feb-14,AMR,Region of the Americas,Aruba,ABW,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Bahamas,BHS,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Barbados,BRB,81,27,,0,0,,0,0.044520262,,
2014-02-01,Feb-14,AMR,Region of the Americas,Belize,BLZ,148,9,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Bermuda,BMU,0,0,0,0,,,0,1,0,1
2014-02-01,Feb-14,AMR,Region of the Americas,Bolivia (Plurinational State of),BOL,4138,562,50,0,0,0.012083132,0,0.000891067,0.00898127,0.015899412
2014-02-01,Feb-14,AMR,Region of the Americas,"Bonaire, Saint Eustatius and Saba",BES,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Brazil,BRA,49796,21153,63,38,0.000763114,0.001265162,0.000540079,0.001047284,0.000972318,0.001618405
2014-02-01,Feb-14,AMR,Region of the Americas,British Virgin Islands,VGB,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Canada,CAN,0,0,0,0,,,0,1,0,1
2014-02-01,Feb-14,AMR,Region of the Americas,Cayman Islands,CYM,2,0,0,0,0,0,0,0.841886117,0,0.841886117
2014-02-01,Feb-14,AMR,Region of the Americas,Chile,CHL,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Colombia,COL,7867,3932,200,0,0,0.025422652,0,0.000468796,0.022057542,0.029145272
2014-02-01,Feb-14,AMR,Region of the Americas,Costa Rica,CRI,525,,,0,0,,0,0.007001809,,
2014-02-01,Feb-14,AMR,Region of the Americas,Cuba,CUB,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Curaçao,CUW,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Dominica,DMA,23,0,0,0,0,0,0,0.148185129,0,0.148185129
2014-02-01,Feb-14,AMR,Region of the Americas,Dominican Republic,DOM,526,,27,7,0.013307985,0.051330798,0.005366792,0.027226391,0.034096246,0.073807629
2014-02-01,Feb-14,AMR,Region of the Americas,Ecuador,ECU,962,962,3,0,0,0.003118503,0,0.003827251,0.000643573,0.009086307
2014-02-01,Feb-14,AMR,Region of the Americas,El Salvador,SLV,1642,731,22,0,0,0.013398295,0,0.002244055,0.008415174,0.020215268
2014-02-01,Feb-14,AMR,Region of the Americas,French Guiana,GUF,1111,150,7,0,0,0.00630063,0,0.003314817,0.002536821,0.012938374
2014-02-01,Feb-14,AMR,Region of the Americas,Grenada,GRD,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Guadeloupe,GLP,664,262,8,0,0,0.012048193,0,0.005540138,0.005215513,0.023601123
2014-02-01,Feb-14,AMR,Region of the Americas,Guatemala,GTM,540,209,7,0,0,0.012962963,0,0.006807978,0.005227239,0.026525391
2014-02-01,Feb-14,AMR,Region of the Americas,Guyana,GUY,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Haiti,HTI,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Honduras,HND,654,,101,0,0,0.154434251,0,0.005624611,0.127584967,0.184445353
2014-02-01,Feb-14,AMR,Region of the Americas,Jamaica,JAM,17,0,0,0,0,0,0,0.195064323,0,0.195064323
2014-02-01,Feb-14,AMR,Region of the Americas,Martinique,MTQ,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Mexico,MEX,5062,1140,435,0,0,0.085934413,0,0.000728474,0.078355308,0.093994864
2014-02-01,Feb-14,AMR,Region of the Americas,Montserrat,MSR,0,0,0,0,,,0,1,0,1
2014-02-01,Feb-14,AMR,Region of the Americas,Nicaragua,NIC,1632,179,0,0,0,0,0,0.00225779,0,0.00225779
2014-02-01,Feb-14,AMR,Region of the Americas,Panama,PAN,2859,0,13,6,0.002098636,0.004547044,0.00077054,0.004562209,0.002423264,0.007763033
2014-02-01,Feb-14,AMR,Region of the Americas,Paraguay,PRY,1966,316,1,1,0.000508647,0.000508647,1.29E-05,0.002830707,1.29E-05,0.002830707
2014-02-01,Feb-14,AMR,Region of the Americas,Peru,PER,2859,1503,20,7,0.002448409,0.006995453,0.000984936,0.005038111,0.004278087,0.010783329
2014-02-01,Feb-14,AMR,Region of the Americas,Puerto Rico,PRI,362,60,1,0,0,0.002762431,0,0.01013853,6.99E-05,0.015294444
2014-02-01,Feb-14,AMR,Region of the Americas,Saint Barthélemy,BLM,0,0,0,0,,,0,1,0,1
2014-02-01,Feb-14,AMR,Region of the Americas,Saint Kitts and Nevis,KNA,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Saint Lucia,LCA,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Saint Martin (French part),MAF,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Saint Vincent and the Grenadines,VCT,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Sint Maarten (Dutch part),SXM,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Suriname,SUR,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,Trinidad and Tobago,TTO,4,1,0,0,0,0,0,0.602364636,0,0.602364636
2014-02-01,Feb-14,AMR,Region of the Americas,Turks and Caicos Islands,TCA,,,,,,,,,,
2014-02-01,Feb-14,AMR,Region of the Americas,United States Virgin Islands,VIR,0,0,0,0,,,0,1,0,1
2014-02-01,Feb-14,AMR,Region of the Americas,United States of America,USA,26,26,0,0,0,0,0,0.132274604,0,0.132274604
2014-02-01,Feb-14,AMR,Region of the Americas,Uruguay,URY,0,0,0,0,,,0,1,0,1
2014-02-01,Feb-14,AMR,Region of the Americas,Venezuela (Bolivarian Republic of),VEN,5533,70,17,0,0,0.003072474,0,0.000666483,0.001790817,0.004914786
2014-02-01,Feb-14,SEAR,South-East Asia Region,Thailand,THA,856,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Anguilla,AIA,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Antigua and Barbuda,ATG,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Argentina,ARG,429,11,0,0,0,0,0,0.008561923,0,0.008561923
2014-03-01,Mar-14,AMR,Region of the Americas,Aruba,ABW,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Bahamas,BHS,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Barbados,BRB,59,11,,0,0,,0,0.060608901,,
2014-03-01,Mar-14,AMR,Region of the Americas,Belize,BLZ,113,3,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Bermuda,BMU,0,0,0,0,,,0,1,0,1
2014-03-01,Mar-14,AMR,Region of the Americas,Bolivia (Plurinational State of),BOL,5566,888,96,0,0,0.017247575,0,0.000662533,0.013992346,0.02102195
2014-03-01,Mar-14,AMR,Region of the Americas,"Bonaire, Saint Eustatius and Saba",BES,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Brazil,BRA,75075,33314,88,47,0.000626041,0.001172161,0.000460026,0.000832415,0.00094021,0.001443939
2014-03-01,Mar-14,AMR,Region of the Americas,British Virgin Islands,VGB,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Canada,CAN,0,0,0,0,,,0,1,0,1
2014-03-01,Mar-14,AMR,Region of the Americas,Cayman Islands,CYM,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Chile,CHL,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Colombia,COL,7287,3660,180,6,0.000823384,0.024701523,0.000302225,0.001791293,0.021260341,0.028529733
2014-03-01,Mar-14,AMR,Region of the Americas,Costa Rica,CRI,335,,,0,0,,0,0.010951175,,
2014-03-01,Mar-14,AMR,Region of the Americas,Cuba,CUB,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Curaçao,CUW,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Dominica,DMA,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Dominican Republic,DOM,454,,17,1,0.002202643,0.037444934,5.58E-05,0.012210731,0.021961649,0.059277358
2014-03-01,Mar-14,AMR,Region of the Americas,Ecuador,ECU,1297,1297,4,0,0,0.00308404,0,0.002840122,0.000840917,0.007877385
2014-03-01,Mar-14,AMR,Region of the Americas,El Salvador,SLV,2135,793,21,1,0.000468384,0.009836066,1.19E-05,0.002606877,0.006098699,0.01499636
2014-03-01,Mar-14,AMR,Region of the Americas,French Guiana,GUF,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Grenada,GRD,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Guadeloupe,GLP,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Guatemala,GTM,511,71,4,0,0,0.007827789,0,0.007192948,0.002136808,0.019920129
2014-03-01,Mar-14,AMR,Region of the Americas,Guyana,GUY,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Haiti,HTI,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Honduras,HND,866,,101,0,0,0.116628176,0,0.004250616,0.096006281,0.139898571
2014-03-01,Mar-14,AMR,Region of the Americas,Jamaica,JAM,13,0,0,0,0,0,0,0.247052638,0,0.247052638
2014-03-01,Mar-14,AMR,Region of the Americas,Martinique,MTQ,1505,0,11,0,0,0.00730897,0,0.002448081,0.003654093,0.013040054
2014-03-01,Mar-14,AMR,Region of the Americas,Mexico,MEX,4715,887,258,0,0,0.054718982,0,0.000782065,0.048398693,0.061597512
2014-03-01,Mar-14,AMR,Region of the Americas,Montserrat,MSR,0,0,0,0,,,0,1,0,1
2014-03-01,Mar-14,AMR,Region of the Americas,Nicaragua,NIC,1776,82,0,0,0,0,0,0.002074916,0,0.002074916
2014-03-01,Mar-14,AMR,Region of the Americas,Panama,PAN,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Paraguay,PRY,1123,106,0,0,0,0,0,0.003279454,0,0.003279454
2014-03-01,Mar-14,AMR,Region of the Americas,Peru,PER,1790,1478,4,1,0.000558659,0.002234637,1.41E-05,0.003108678,0.000609189,0.005711589
2014-03-01,Mar-14,AMR,Region of the Americas,Puerto Rico,PRI,337,148,0,0,0,0,0,0.010886538,0,0.010886538
2014-03-01,Mar-14,AMR,Region of the Americas,Saint Barthélemy,BLM,0,0,0,0,,,0,1,0,1
2014-03-01,Mar-14,AMR,Region of the Americas,Saint Kitts and Nevis,KNA,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Saint Lucia,LCA,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Saint Martin (French part),MAF,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Saint Vincent and the Grenadines,VCT,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Sint Maarten (Dutch part),SXM,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Suriname,SUR,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Trinidad and Tobago,TTO,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,Turks and Caicos Islands,TCA,,,,,,,,,,
2014-03-01,Mar-14,AMR,Region of the Americas,United States Virgin Islands,VIR,0,0,0,0,,,0,1,0,1
2014-03-01,Mar-14,AMR,Region of the Americas,United States of America,USA,19,19,0,0,0,0,0,0.176466912,0,0.176466912
2014-03-01,Mar-14,AMR,Region of the Americas,Uruguay,URY,0,0,0,0,,,0,1,0,1
2014-03-01,Mar-14,AMR,Region of the Americas,Venezuela (Bolivarian Republic of),VEN,3629,0,9,0,0,0.002480022,0,0.001015984,0.001134632,0.004702611
2014-03-01,Mar-14,SEAR,South-East Asia Region,Thailand,THA,1010,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Anguilla,AIA,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Antigua and Barbuda,ATG,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Argentina,ARG,598,15,0,0,0,0,0,0.006149707,0,0.006149707
2014-04-01,Apr-14,AMR,Region of the Americas,Aruba,ABW,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Bahamas,BHS,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Barbados,BRB,77,18,,0,0,,0,0.046778068,,
2014-04-01,Apr-14,AMR,Region of the Americas,Belize,BLZ,175,10,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Bermuda,BMU,0,0,0,0,,,0,1,0,1
2014-04-01,Apr-14,AMR,Region of the Americas,Bolivia (Plurinational State of),BOL,5913,707,99,0,0,0.01674277,0,0.000623665,0.013627985,0.020346507
2014-04-01,Apr-14,AMR,Region of the Americas,"Bonaire, Saint Eustatius and Saba",BES,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Brazil,BRA,170536,71010,189,109,0.000639161,0.00110827,0.000524846,0.000770968,0.000955963,0.001277924
2014-04-01,Apr-14,AMR,Region of the Americas,British Virgin Islands,VGB,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Canada,CAN,0,0,0,0,,,0,1,0,1
2014-04-01,Apr-14,AMR,Region of the Americas,Cayman Islands,CYM,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Chile,CHL,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Colombia,COL,9435,4114,207,9,0.000953895,0.021939587,0.000436271,0.001810014,0.019079111,0.025100224
2014-04-01,Apr-14,AMR,Region of the Americas,Costa Rica,CRI,424,,,0,0,,0,0.00866245,,
2014-04-01,Apr-14,AMR,Region of the Americas,Cuba,CUB,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Curaçao,CUW,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Dominica,DMA,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Dominican Republic,DOM,508,,21,1,0.001968504,0.041338583,4.98E-05,0.010918578,0.025768325,0.062498251
2014-04-01,Apr-14,AMR,Region of the Americas,Ecuador,ECU,2433,2433,7,0,0,0.002877106,0,0.001515037,0.001157504,0.0059189
2014-04-01,Apr-14,AMR,Region of the Americas,El Salvador,SLV,2948,1149,26,0,0,0.008819539,0,0.001250533,0.005769073,0.012896137
2014-04-01,Apr-14,AMR,Region of the Americas,French Guiana,GUF,0,102,0,0,,,0,1,0,1
2014-04-01,Apr-14,AMR,Region of the Americas,Grenada,GRD,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Guadeloupe,GLP,0,339,0,0,,,0,1,0,1
2014-04-01,Apr-14,AMR,Region of the Americas,Guatemala,GTM,611,46,3,1,0.001636661,0.004909984,4.14E-05,0.009084851,0.001013703,0.014281474
2014-04-01,Apr-14,AMR,Region of the Americas,Guyana,GUY,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Haiti,HTI,,,,,,,,,,
2014-04-01,Apr-14,AMR,Region of the Americas,Honduras,HND,994,,153,0,0,0.153923541,0,0.003704269,0.132037345,0.177881298
2014-04-01,Apr-14,AMR,Region of the Americas,Jamaica,JAM,13,0,0,0,0,0,0,0.247052638,0,0.247052638
2014-04-01,Apr-14,AMR,Region of the Americas,Martinique,MTQ,0,411,0,2,Inf,,,,0,1
2014-04-01,Apr-14,AMR,Region of the Americas,Mexico,MEX,5234,951,278,0,0,0.053114253,0,0.000704543,0.047193803,0.059539023
2014-04-01,Apr-14,AMR,Region of the Americas,Montserrat,MSR,0,0,0,0,,,0,1,0,1
2014-04-01,Apr-14,AMR,Region of the Americas,Nicaragua,NIC,1667,48,0,0,0,0,0,0.002210438,0,0.002210438
2014-04-01,Apr-14,AMR,Region of the Americas,Panama,PAN,841,2031,4,2,0.002378121,0.004756243,0.000288131,0.008563949,0.001297391,0.012132744
2014-04-01,Apr-14,AMR,Region of the Americas,Paraguay,PRY,1830,248,0,0,0,0,0,0.002013751,0,0.002013751
2014-04-01,Apr-14,AMR,Region of the Americas,Peru,PER,1576,1557,10,9,0.00571066,0.006345178,0.002614503,0.010812816,0.003046829,0.011637955
2014-04-01,Apr-14,AMR,Region of the Americas,Puerto Rico,PRI,436,26,0,0,0,0,0,0.008425041,0,0.008425041
2014-04-01,Apr-14,AMR,Region of the Americas,Saint Barthélemy,BLM,0,17,0,0,,,0,1,0,1
2014-04-01,Apr-14,AMR,Region of the Americas,Saint Kitts and Nevis,KNA,,,,,,,,,,
